,block_index,trial,trial_onset(s),stimulus_type,resp_key,rt(s),correct,is_omission,is_comission
0,,0,13.621033899951726,Go,,0.0,Incorrect,True,False
1,,1,15.641715300036594,Go,space,0.5928366999141872,Correct,False,False
2,,2,16.64877500012517,No_go,space,0.5010915999300778,Incorrect,False,True
3,,3,17.665393800009042,Go,space,0.7999658999033272,Correct,False,False
4,,4,18.681134900078177,Go,space,0.7170839000027627,Correct,False,False
5,,5,19.696802499936894,Go,space,0.8835771998856217,Correct,False,False
6,,6,20.71304389997385,Go,space,0.7995573000516742,Correct,False,False
7,,7,21.727524500107396,Go,space,0.6837186000775546,Correct,False,False
8,,8,22.74388929991983,Go,space,0.6663335000630468,Correct,False,False
9,,9,23.759557200130075,No_go,,0.0,Correct,False,False
10,,10,25.78136030002497,No_go,,0.0,Correct,False,False
11,,11,27.797292900038883,Go,space,0.5596257001161575,Correct,False,False
12,,12,28.805548900039867,No_go,,0.0,Correct,False,False
13,,13,30.828893200028688,Go,space,0.540900900028646,Correct,False,False
14,,14,31.835782000096515,Go,space,0.7670023001264781,Correct,False,False
15,,15,32.85129319992848,Go,space,0.7338521999772638,Correct,False,False
16,,16,33.87072500004433,Go,space,0.7465754000004381,Correct,False,False
17,,17,34.883213999914005,Go,space,0.6824122997932136,Correct,False,False
18,,18,35.898827200056985,Go,space,0.6830915999598801,Correct,False,False
19,,19,36.91442200005986,Go,space,0.6712749998550862,Correct,False,False
20,,20,37.92976829991676,No_go,,0.0,Correct,False,False
21,,21,39.95513619994745,Go,space,0.5225742999464273,Correct,False,False
22,,22,40.96053480007686,Go,space,0.5731081000994891,Correct,False,False
23,,23,41.976380800129846,Go,space,0.5664514999371022,Correct,False,False
24,,24,42.99225870007649,Go,space,0.6609585999976844,Correct,False,False
25,,25,44.008191799977794,No_go,,0.0,Correct,False,False
26,,26,46.02910550008528,No_go,,0.0,Correct,False,False
27,,27,48.04613070003688,Go,space,0.5412047998979688,Correct,False,False
28,,28,49.05336969997734,Go,space,0.5662499000318348,Correct,False,False
29,,29,50.06903150002472,Go,space,0.5499181000050157,Correct,False,False
30,,30,51.08456340013072,Go,space,0.5335856999736279,Correct,False,False
31,,31,52.1004566999618,Go,space,0.5696916000451893,Correct,False,False
32,,32,53.11571109993383,Go,space,0.6007799000944942,Correct,False,False
33,,33,54.13130420004018,No_go,,0.0,Correct,False,False
34,,34,56.15422659995966,Go,space,0.5253966001328081,Correct,False,False
35,,35,57.16143819992431,Go,space,0.5676719001494348,Correct,False,False
36,,36,58.17767950007692,Go,space,0.5517824999988079,Correct,False,False
37,,37,59.19386600004509,Go,space,0.5503758999984711,Correct,False,False
38,,38,60.20935590006411,Go,space,0.453262299997732,Correct,False,False
39,,39,61.224652300123125,No_go,,0.0,Correct,False,False
40,,40,63.24955340009183,Go,space,0.4905671998858452,Correct,False,False
41,,41,64.2554691999685,Go,space,0.4831248000264168,Correct,False,False
42,,42,65.2717347999569,Go,space,0.5663550000172108,Correct,False,False
43,,43,66.28728180006146,Go,space,0.5167072000913322,Correct,False,False
44,,44,67.30335579998791,Go,space,0.6507763001136482,Correct,False,False
45,1.0,45,83.22735380008817,No_go,,0.0,Correct,False,False
46,1.0,46,84.21988010010682,Go,space,0.5336363001260906,Correct,False,False
47,1.0,47,85.2187759000808,Go,space,0.4850521998014301,Correct,False,False
48,1.0,48,86.21809169999324,Go,space,0.5001181000843644,Correct,False,False
49,1.0,49,87.21621230011806,Go,space,0.4845817000605166,Correct,False,False
50,1.0,50,88.21621520002373,Go,space,0.4665135000832379,Correct,False,False
51,1.0,51,89.21547499997541,Go,space,0.567019100068137,Correct,False,False
52,1.0,52,90.21440679999068,No_go,,0.0,Correct,False,False
